2026-07-07 22:57:39 | ::1 | fkkg | Masuk ke sistem
2026-07-07 23:09:02 | ::1 | fkkg | Masuk ke sistem
2026-07-07 23:10:28 | ::1 | fkkg | Menambah ubat baru: PERIN (8MG)
2026-07-07 23:11:05 | ::1 | fkkg | Menambah ubat baru: PERINACE (8MG)
2026-07-07 23:11:26 | ::1 | fkkg | Menambah ubat baru: PERINACE (8MG)
2026-07-07 23:16:09 | ::1 | fkkg | Masuk ke sistem
2026-07-07 23:16:35 | ::1 | fkkg | Memadam ubat: PERIN
2026-07-07 23:16:39 | ::1 | fkkg | Memadam ubat: PERINACE
2026-07-07 23:16:44 | ::1 | fkkg | Memuat naik gambar baru bagi ubat: PERINACE
2026-07-07 23:17:11 | ::1 | fkkg | Memadam fail PDF dari storan
2026-07-07 23:17:26 | ::1 | fkkg | Masuk ke sistem
2026-07-07 23:18:00 | ::1 | fkkg | Mengekstrak semua halaman PDF ke Desktop
2026-07-07 23:19:23 | ::1 | fkkg | Mengekstrak semua halaman PDF ke Desktop
2026-07-07 23:21:24 | ::1 | fkkg | Keluar dari sistem
2026-07-07 23:21:31 | ::1 | fkkg | Masuk ke sistem
2026-07-07 23:21:46 | ::1 | fkkg | Mengekstrak semua halaman PDF ke Desktop
2026-07-07 23:25:02 | ::1 | fkkg | Mengekstrak semua halaman PDF ke Desktop
2026-07-07 23:26:22 | ::1 | fkkg | Memuat naik gambar baru bagi ubat: Perindopril + Indapamide
2026-07-07 23:31:02 | ::1 | fkkg | Masuk ke sistem
2026-07-07 23:42:15 | ::1 | fkkg | Masuk ke sistem
2026-07-07 23:42:23 | ::1 | fkkg | Memuat naik gambar baru bagi ubat: Atenolol
2026-07-07 23:42:44 | ::1 | fkkg | Memadam semua gambar foto custom bagi ubat: Atenolol
2026-07-07 23:43:08 | ::1 | fkkg | Memuat naik gambar baru bagi ubat: Atenolol
2026-07-07 23:43:29 | ::1 | fkkg | Memuat naik gambar baru bagi ubat: Labetalol
